id,title,difficulty,distance_m,duration_min,altitude_diff,altitude_start,has_rentals,lift_available,is_open,is_prepared,location,activity_type,activity_type_enc,location_enc,activity_type_predicted,type_prediction_confidence
smgpoi9603e0996b8a2403e1f836bfe74fff8c,211 Paravis Trail,2,900.0,4.2,183.0,2007.0,0,0,0,0,Sëlva/Selva di Val Gardena,skiing,5,92,skiing,0.4492704235110022
smgpoi85908de81b6d2cb59035fe45498a381c_reduced,213 - Panoramic-Tour Val Gardena - Seiser Alm,2,900.0,4.2,183.0,1233.0,0,0,1,0,Urtijëi/Ortisei,hiking,3,106,hiking,0.367120374033826
smgpoieea2e3fead301a98754be17e57eff2d2,213 Seiser Alm/Val Gardena panoramic tour,2,900.0,4.2,183.0,1842.0,1,0,0,0,Kastelruth/Castelrotto,hiking,3,32,hiking,0.9636194101455614
smgpoibfa3bc4aee1b9df02bdd8c71fd82af50,21a SEXTEN - Short circular Trail Waldheim (illuminated),2,900.0,4.2,183.0,1315.0,0,0,1,0,Sexten/Sesto,hiking,3,84,hiking,0.3081798732408906
smgpoifa1c47b2be0960666cd5f9ae74828586_reduced,21a SEXTEN - Night slope Circuito Waldheim,2,900.0,4.2,183.0,1315.0,0,0,0,0,Sexten/Sesto,cycling,1,84,cycling,0.6416712918200139
smgpoi439f45ce0d7b910dd45bca18afa86c5c_reduced,21b SEXTEN - Circuito Moso,2,900.0,4.2,183.0,1323.0,0,0,0,0,Sexten/Sesto,cycling,1,84,cycling,0.6510857622151722
smgpoif54dd091208511d84f8a922ea05ce2f8,21 SEXTEN - Circular Trail Waldheim,2,900.0,4.2,183.0,1315.0,0,0,1,0,Sexten/Sesto,hiking,3,84,hiking,0.3081798732408906
smgpoi4cb4613e43a1f2efe3a7b7d028591ded,223 Clockwise Val Duron tour,2,900.0,4.2,183.0,1542.0,0,0,0,0,Sëlva/Selva di Val Gardena,cycling,1,92,cycling,0.5379598985296326
smgpoi5721a13b16748733bba356c59b728f04,249 Hofer Alpl loop route,2,900.0,4.2,183.0,859.0,0,0,0,0,Völs am Schlern/Fiè allo Sciliar,skiing,5,112,skiing,0.6913033694639404
smgpoi78e3fd5425aed454defe139567ded23c,253 Seiser Alm Hut Tour,2,900.0,4.2,183.0,1842.0,1,0,0,0,Kastelruth/Castelrotto,hiking,3,32,hiking,0.9636194101455614
smgpoiecf83b1a36b84e339045b4466af3f817,254 Tierser Alpl refuge access road,2,900.0,4.2,183.0,2442.0,0,0,0,0,Kastelruth/Castelrotto,running,4,32,running,0.47939066768188165
smgpoi127f3e4163c9cbe36e7cb068c88cebb3,255 Schnaggenkreuz Cross loop route,2,900.0,4.2,183.0,859.0,0,0,0,0,Völs am Schlern/Fiè allo Sciliar,skiing,5,112,skiing,0.6913033694639404
smgpoife90a050fcbe6d2472c6455e071b79d9,256 Schnaggenkreuz with Tschafon variant,2,900.0,4.2,183.0,1083.0,0,0,0,0,Völs am Schlern/Fiè allo Sciliar,skiing,5,112,skiing,0.5008278560863034
smgpoi36aae2c6c0e21db2aa6613a3d9bd6bd4,258 Eisacktal I link trail,2,900.0,4.2,183.0,373.0,0,0,1,0,Völs am Schlern/Fiè allo Sciliar,hiking,3,112,hiking,0.48675151180744997
smgpoi9105003845a85526c6d2b273f9d2a44c,259 St. Oswald-Tour,2,900.0,4.2,183.0,1062.0,0,0,1,0,Kastelruth/Castelrotto,cycling,1,32,cycling,0.2822403227215188
smgpoi8e2512af4d751829b301fdb99975a181,25 A Niederdorf/Villabassa - Marathon / Grabach-Dobbiaco/Toblach,2,900.0,4.2,183.0,1210.0,0,0,1,0,Toblach/Dobbiaco,skiing,5,99,skiing,0.28783492682920153
smgpoi4e916175f9dd10fe7f18ed7fd19b614d,25 Cross country ski stadium Toblach/Dobbiaco - Skilift Rienz (connection Niederdorf/Villabassa),2,900.0,4.2,183.0,1215.0,0,0,0,0,Toblach/Dobbiaco,skiing,5,99,skiing,0.5923651249572124
smgpoif94c139ac013b2dda279fa5233af755e,25 Niederdorf/Villabassa - Marathon /border Toblach/Dobbiaco until border Prags/Braies ,2,900.0,4.2,183.0,1218.0,0,0,1,0,Toblach/Dobbiaco,skiing,5,99,skiing,0.4935100059331162
smgpoi50900192a30d473ab50a3f33777d968c,25 Niederdorf/Villabassa - Marathon / Prags/Braies to Nordic Arena,2,900.0,4.2,183.0,1190.0,0,0,0,0,Niederdorf/Villabassa,skiing,5,59,skiing,0.584844261729879
smgpoi56dcd8121f896292e7b599c4893339dc,"25 Nordic Arena -  Villabassa, statione ",2,900.0,4.2,183.0,1215.0,0,0,0,0,Toblach/Dobbiaco,skiing,5,99,skiing,0.5923651249572124
smgpoi56b4a66ad4ce0b892f7c1817f7b9d65b,260 Tagusens loop route,2,900.0,4.2,183.0,1062.0,0,0,1,0,Kastelruth/Castelrotto,cycling,1,32,cycling,0.2822403227215188
smgpoicd46a5395a86af5e1a9a4dea8f387556,261 Marinzen Tour,2,900.0,4.2,183.0,1062.0,0,0,0,0,Kastelruth/Castelrotto,climbing,0,32,climbing,0.46397401419872897
smgpoic987c9bd57a5ef2105b2f6ceb8e1bad7_reduced,"26 B Villabassa - Cross country ""Sun"" from Niederdorf/Villabassa to Rainerhof",2,900.0,4.2,183.0,1149.0,0,0,0,0,Niederdorf/Villabassa,family,2,59,family,0.34243719767443365
smgpoidfab63c820db6eb982426e82fc2f6d61,26B Sun track Toblach/Dobbiaco - Niederdorf/Villabassa,2,900.0,4.2,183.0,1212.0,0,0,0,0,Toblach/Dobbiaco,cycling,1,99,cycling,0.43809630143177675
smgpoi16c9cb26822c10d9eeeb96c37e7bfde8,26 C Villabassa/Niederdorf - Cross country Hirbenfeld,2,900.0,4.2,183.0,1148.0,0,0,0,0,Niederdorf/Villabassa,skiing,5,59,skiing,0.4518214498387868
smgpoidc30d2f1e6fcac64e0ce54409d509993,26 Sun tack Toblach/Dobbiaco - Aufkirchen/Santa Maria,2,900.0,4.2,183.0,1213.0,0,0,0,0,Toblach/Dobbiaco,cycling,1,99,cycling,0.42713649488523703
smgpoi1b66acc3ebe4b20e111d02ac25370629,27 A Villabassa - Cross-country Olympia,2,900.0,4.2,183.0,1191.0,0,0,0,0,Niederdorf/Villabassa,skiing,5,59,skiing,0.584844261729879
smgpoi3381cca553a3acbfeb36d6ff02ac2ab3,27 B Villabassa - Pian di Maia / Maistatt Cross-country ,2,900.0,4.2,183.0,1191.0,0,0,0,0,Niederdorf/Villabassa,skiing,5,59,skiing,0.584844261729879
smgpoi51f173bfebdf006e9d828323802cf435,282 Duron Valley counter-clockwise,2,900.0,4.2,183.0,1842.0,1,0,0,0,Kastelruth/Castelrotto,hiking,3,32,hiking,0.9636194101455614
smgpoi345f5c5f21873feb9945a9212f088cf2,283 Puflatsch loop route,2,900.0,4.2,183.0,1062.0,0,0,0,0,Kastelruth/Castelrotto,climbing,0,32,climbing,0.46397401419872897
smgpoia63b8d548b707d05e42edae183874585,284 Spitzbühl loop route,2,900.0,4.2,183.0,1842.0,0,0,0,0,Kastelruth/Castelrotto,cycling,1,32,cycling,0.5961952434218939
smgpoi06fea2f0b547a302fb15014bc5742358,285 Tagusens Tour with Moosbühel variant,2,900.0,4.2,183.0,1133.0,0,0,1,0,Kastelruth/Castelrotto,hiking,3,32,hiking,0.3509058611769429
smgpoi4c4a74469ea1c37fb5f383f1c98c1175,286 La Buja Variant,2,900.0,4.2,183.0,1816.0,0,0,0,0,S.Crestina Gherdëina/Santa Cristina Val Gardana,family,2,75,family,0.37422184352094606
smgpoi07ac85f108e1ea712e810776c99ae5f5,287 Seiser Alm Hut Tour with Rosszähne variant,2,900.0,4.2,183.0,1979.0,0,0,0,0,Kastelruth/Castelrotto,cycling,1,32,cycling,0.4068386515958852
smgpoi94e30eb6d650ea193a1b0893d601fd22,288 Eisacktal Valley II link trail,2,900.0,4.2,183.0,428.0,0,0,1,0,Kastelruth/Castelrotto,hiking,3,32,hiking,0.4471247175632595
smgpoi317796b8fab049b23e715cf80f1dce1d,289 Niger Pass link trail,2,900.0,4.2,183.0,1132.0,0,0,0,0,Tiers am Rosengarten/Tires al Catinaccio,cycling,1,96,cycling,0.446984223916762
smgpoi7bb1e3430a85731588b0426d662f1bb5,290 Seis am Schlern - Compatsch link trail,2,900.0,4.2,183.0,1842.0,1,0,1,0,Kastelruth/Castelrotto,hiking,3,32,hiking,0.8975111826570352
smgpoi14d1557af5bb48b26988eaaa080dcaeb,291 Völser Aicha - Tiers link trail,2,900.0,4.2,183.0,964.0,0,0,1,0,Völs am Schlern/Fiè allo Sciliar,hiking,3,112,hiking,0.29606186954323277
smgpoif40d83b77f0d3e4fe60ba6092c542f3d,292 Völs am Schlern - Seis am Schlern link trail,2,900.0,4.2,183.0,1011.0,0,0,1,0,Völs am Schlern/Fiè allo Sciliar,family,2,112,family,0.22657875517384735
smgpoibf7d4c32835d2f9a568213171da71e29,293 Wuhnleger Lake tour,2,900.0,4.2,183.0,1018.0,0,0,1,0,Tiers am Rosengarten/Tires al Catinaccio,summer,6,96,summer,0.33294181631276926
smgpoi762c05cb12a0bc4be2d6fd65e0584f99,294 Sellaronda access route,2,900.0,4.2,183.0,1564.0,0,0,0,0,Kastelruth/Castelrotto,skiing,5,32,skiing,0.43821444636164625
smgpoieb437749e4851e2d8308c01e892dcca0,297a Mont Sëura Tour Variante (alternate route),2,900.0,4.2,183.0,1540.0,0,0,1,0,Sëlva/Selva di Val Gardena,hiking,3,92,hiking,0.5386161414772567
smgpoi0b014aed11a4adbfc4fb28fe72664a72_reduced,297 Mont de Seura Tour,2,900.0,4.2,183.0,1400.0,0,0,1,0,S.Crestina Gherdëina/Santa Cristina Val Gardana,hiking,3,75,hiking,0.49785494410155146
smgpoi0527583c2576ad7144d45307896790bd_reduced,298a Tour San Giacomo-Rifugio Firenze,2,900.0,4.2,183.0,1388.0,0,0,1,0,S.Crestina Gherdëina/Santa Cristina Val Gardana,hiking,3,75,hiking,0.35098095335662954
smgpoi8eaf762811e2a64133f9301010196108_reduced,298 Rifugio Firenze Tour,2,900.0,4.2,183.0,1391.0,0,0,1,0,S.Crestina Gherdëina/Santa Cristina Val Gardana,family,2,75,family,0.2937629993033363
smgpoi6f1997387d043535db1a5df82cfd9885,299 Rifugio Firenze Tour Alternative,2,900.0,4.2,183.0,2119.0,0,0,0,0,Sëlva/Selva di Val Gardena,summer,6,92,summer,0.44505842145788704
smgpoi142dbfabb10ac7226c435ce85a38694e,2 summits made easy – Windspitz and Mittager,2,900.0,4.2,183.0,1895.0,0,0,1,0,Hafling/Avelengo,summer,6,26,hiking,0.3854303508297731
smgpoic9b7298f6de8e73eafe9731ab9ea76db,2 peaks tour - Gitsch and Fallmetzer,2,900.0,4.2,183.0,2109.0,0,0,0,0,Vintl/Vandoies,skiing,5,111,skiing,0.780771749273346
smgpoic8e00d0fb1ef6919d498bde8c9731d2c,2 Madriccio,2,900.0,4.2,183.0,2850.0,1,0,1,0,Stilfs/Stelvio,hiking,3,90,hiking,0.922394059322306
smgpoife1549d5a217d86e065fffefcb50d5ed,Two lakes view hike,2,900.0,4.2,183.0,1637.0,0,0,0,0,Rasen-Antholz/Rasun Anterselva,skiing,5,70,skiing,0.44546781150714554
smgpoi1717ead3b12a7372720323f74a603c7e,2 Discesa a valle,2,900.0,4.2,183.0,1900.0,0,0,1,0,Stilfs/Stelvio,hiking,3,90,running,0.5049219861059844
smgpoi82bb5a1aca82113a1edc41fed8d70c46_reduced,300 - Family Tour Val d'Anna,2,900.0,4.2,183.0,1233.0,0,0,1,0,Urtijëi/Ortisei,hiking,3,106,hiking,0.367120374033826
smgpoi1ef2a009344da123a85471da1829bcb9_reduced,301 - Tour Resciesa,2,900.0,4.2,183.0,1233.0,0,0,1,0,Urtijëi/Ortisei,hiking,3,106,hiking,0.367120374033826
smgpoi02be616d0f902e5b4ce9914386355464_reduced,302 - Variante Tour Resciesa,2,900.0,4.2,183.0,2013.0,0,0,1,0,Urtijëi/Ortisei,hiking,3,106,hiking,0.5027950891130306
smgpoi1b8a7a2ad7770260d6b8a0ab693006c0,303a Trail Arena Tour,2,900.0,4.2,183.0,1539.0,0,0,0,0,Sëlva/Selva di Val Gardena,cycling,1,92,cycling,0.41070616040404034
smgpoid3ac0c9068d223baea4f908bd6f8802f,303 Passo Gardena circuit,2,900.0,4.2,183.0,1542.0,0,0,0,0,Sëlva/Selva di Val Gardena,cycling,1,92,cycling,0.5379598985296326
smgpoia9fb3ce20cc719d8bf1ed9bb832210ae,304 The Passo Gardena circuit alternative,2,900.0,4.2,183.0,1636.0,0,0,0,0,Sëlva/Selva di Val Gardena,skiing,5,92,skiing,0.4707052008789044
smgpoi3077915939ad082c1e6fd8c2ff2c1648,308 Passo Sella circuit,2,900.0,4.2,183.0,1540.0,0,0,0,0,Sëlva/Selva di Val Gardena,cycling,1,92,cycling,0.4080748849755827
smgpoia7387e5a562e329aa4bf4b0f479f9dd5,309 Family Trail,2,900.0,4.2,183.0,2007.0,0,0,0,0,Sëlva/Selva di Val Gardena,skiing,5,92,skiing,0.4492704235110022
